                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1176,                 2.3746,                 1.1804,                0.62878,                0.78487,                 0.8363,                0.55937,                 1.2575,                 1.8198,                 1.1275,             0.00054725,             0.00054725,             0.00054725
                      2,                0.91597,                 1.5955,                 1.0378,                0.61429,                0.86652,                0.89231,                0.61832,                 1.0066,                 1.4908,                0.99735,              0.0010592,              0.0010592,              0.0010592
                      3,                0.87445,                 1.3593,                 1.0155,                0.80222,                0.85146,                0.81165,                0.64535,                0.84464,                 1.3414,                0.97437,              0.0015272,              0.0015272,              0.0015272
                      4,                0.84338,                 1.1907,                0.99934,                 0.8142,                0.82974,                 0.8568,                0.53368,                  1.356,                 1.3594,                   1.14,               0.001469,               0.001469,               0.001469
                      5,                  0.785,                 1.0298,                0.98125,                 0.8236,                0.80682,                0.88594,                0.60268,                 1.2318,                0.94148,                 1.0787,              0.0014029,              0.0014029,              0.0014029
                      6,                0.76519,                0.91834,                0.97494,                0.86748,                0.92943,                0.94486,                0.70002,                0.95464,                0.62173,                0.97334,              0.0013369,              0.0013369,              0.0013369
                      7,                 0.7174,                0.85026,                0.95535,                0.90091,                0.85343,                0.92166,                0.75465,                0.78167,                0.66035,                0.90812,              0.0012709,              0.0012709,              0.0012709
                      8,                0.72374,                0.81032,                0.95554,                0.91041,                0.91259,                0.95972,                0.80189,                 0.6782,                0.58942,                 0.8928,              0.0012049,              0.0012049,              0.0012049
                      9,                 0.6975,                0.75924,                0.95016,                0.92291,                0.90799,                0.95656,                0.78119,                0.75839,                0.55213,                 0.9081,              0.0011389,              0.0011389,              0.0011389
                     10,                0.68798,                0.70322,                0.94893,                0.88008,                0.95455,                0.96122,                0.76602,                 0.8733,                0.57847,                0.94392,              0.0010729,              0.0010729,              0.0010729
                     11,                0.67704,                0.69254,                0.94746,                0.90392,                0.90788,                0.97092,                0.84958,                0.54437,                0.46731,                0.85144,              0.0010069,              0.0010069,              0.0010069
                     12,                0.67183,                0.67689,                0.93787,                0.89555,                0.93607,                0.98172,                0.83849,                0.65416,                 0.4815,                0.87657,             0.00094085,             0.00094085,             0.00094085
                     13,                0.65835,                0.63084,                0.93783,                0.92837,                0.92388,                0.97498,                0.85552,                0.53164,                 0.4579,                0.85135,             0.00087484,             0.00087484,             0.00087484
                     14,                0.64703,                0.60655,                0.92426,                0.94679,                0.91446,                0.97136,                0.83957,                0.60489,                0.45381,                0.86365,             0.00080883,             0.00080883,             0.00080883
                     15,                0.64835,                0.59755,                0.93348,                0.93949,                 0.9541,                0.97979,                0.80632,                0.74104,                0.43479,                0.89237,             0.00074282,             0.00074282,             0.00074282
                     16,                0.54864,                0.45989,                0.86171,                 0.9317,                0.93471,                0.97756,                0.86006,                0.55182,                0.42809,                0.86167,              0.0006768,              0.0006768,              0.0006768
                     17,                0.51946,                0.44542,                0.85296,                0.90705,                0.90659,                0.97543,                0.83815,                 0.6293,                0.52625,                0.86157,             0.00061079,             0.00061079,             0.00061079
                     18,                  0.515,                0.45073,                0.84675,                0.88998,                0.94262,                 0.9743,                0.84183,                0.65383,                0.46801,                0.87151,             0.00054478,             0.00054478,             0.00054478
                     19,                0.48063,                 0.4402,                 0.8433,                0.91357,                0.95036,                0.96636,                0.81052,                0.70302,                0.45353,                0.88538,             0.00047876,             0.00047876,             0.00047876
                     20,                0.47366,                0.38569,                0.84079,                0.90731,                0.98016,                0.98124,                0.85346,                0.59884,                0.37476,                0.86159,             0.00041275,             0.00041275,             0.00041275
                     21,                0.45887,                0.36849,                0.83474,                0.93789,                0.92334,                0.96958,                0.80914,                0.72944,                 0.4334,                0.88334,             0.00034674,             0.00034674,             0.00034674
                     22,                0.46534,                0.36777,                0.83311,                0.93305,                0.94377,                0.97442,                 0.8809,                0.48714,                0.38465,                0.83645,             0.00028072,             0.00028072,             0.00028072
                     23,                0.44995,                0.34088,                0.82587,                0.91759,                0.95743,                0.97922,                0.85366,                  0.582,                0.38202,                 0.8545,             0.00021471,             0.00021471,             0.00021471
                     24,                0.44117,                0.33388,                0.82491,                0.91737,                0.97523,                0.97529,                0.87889,                0.52479,                0.37967,                0.84035,              0.0001487,              0.0001487,              0.0001487
                     25,                0.41886,                0.29638,                0.82479,                0.96109,                0.95743,                0.97761,                0.87619,                0.51331,                0.33978,                0.84067,             8.2683e-05,             8.2683e-05,             8.2683e-05
